PROPERTY_ID,COUNTRY,PROVINCE,CITY,PROPERTY_PRICE,BEDROOMS,BATHROOMS,PARKING,FLOOR_SIZE,Monthly_Repayment,Total_Once_off_Costs,Min_Gross_Monthly_Income
1,South Africa,Gauteng,Sandton,2542743,1,1,3,176,29801,235009,94255
2,South Africa,Western Cape,Sea Point,5154572,4,3,3,125,44365,118772,126685
3,South Africa,KwaZulu-Natal,Ballito,1582180,3,3,1,122,11571,212091,166693
4,South Africa,Eastern Cape,Gqeberha,3084489,4,2,3,144,12525,145584,183332
5,South Africa,Free State,Bloemfontein,1849890,4,2,2,178,20109,291337,60914
6,South Africa,Mpumalanga,White River,2420006,4,2,1,81,12730,112298,106948
7,South Africa,Limpopo,Polokwane,2853274,1,3,3,226,29564,63820,96924
8,South Africa,North West,Hartbeespoort,1986074,4,2,3,104,28551,242880,98936
9,South Africa,Northern Cape,Kimberley,1762756,1,1,3,236,27958,81100,106619
10,South Africa,Gauteng,Alberton,2089911,2,2,2,71,32067,92275,38018
11,South Africa,Western Cape,Cape Town,5322471,2,2,2,232,49926,264667,186848
12,South Africa,KwaZulu-Natal,Hillcrest,2988242,2,1,3,175,33960,206774,97285
13,South Africa,Eastern Cape,Gqeberha,1179365,1,1,2,173,19372,164437,186773
14,South Africa,Free State,Welkom,1963396,1,3,1,86,37750,254272,97895
15,South Africa,Mpumalanga,Nelspruit,1637201,3,3,1,80,23993,241140,33848
16,South Africa,Limpopo,Tzaneen,2220455,4,2,3,140,39793,127364,141399
17,South Africa,North West,Rustenburg,2616891,1,1,1,235,47119,275941,96088
18,South Africa,Northern Cape,Upington,1177069,1,2,1,138,51135,164118,108861
19,South Africa,Gauteng,Fourways,4194769,4,3,1,126,44500,58461,155524
20,South Africa,Western Cape,Stellenbosch,1641743,3,1,3,162,44063,172407,31250
21,South Africa,KwaZulu-Natal,Umhlanga,953355,4,1,2,204,22575,313892,186878
22,South Africa,Eastern Cape,Gqeberha,2112752,4,2,1,160,8558,129408,87106
23,South Africa,Free State,Bloemfontein,1034779,2,2,3,195,17706,194306,30131
24,South Africa,Mpumalanga,White River,2246025,2,1,3,179,45871,195451,144309
25,South Africa,Limpopo,Polokwane,2320485,4,3,3,124,29385,204990,38840
26,South Africa,North West,Hartbeespoort,1839436,3,3,3,98,38661,78502,90467
27,South Africa,Northern Cape,Kimberley,2157371,3,1,2,134,36700,80130,102108
28,South Africa,Gauteng,Centurion,1767040,3,2,2,143,33464,121939,72977
29,South Africa,Western Cape,Bellville,6593066,1,1,1,91,15099,176120,142369
30,South Africa,KwaZulu-Natal,Durban North,3103882,2,2,2,166,37545,59288,86055
31,South Africa,Eastern Cape,Gqeberha,2769486,3,3,1,155,9303,253819,66064
